#=====================================================
# File created:        Sun-22-Feb-2026-at-06-01-43PM
# Size of lattice:     50x50
# Number of MC steps:  500
# Reduced temperature: 0.500
# Run time (s):        1.588999
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2372.3350  0.2635 
   00001    0.6800   -3609.5222  0.2545 
   00002    0.6332   -4419.7993  0.2519 
   00003    0.5780   -5051.8496  0.2566 
   00004    0.5612   -5415.4448  0.2619 
   00005    0.5560   -5812.1592  0.2623 
   00006    0.5292   -6136.1885  0.2616 
   00007    0.5140   -6370.1128  0.2632 
   00008    0.5060   -6473.1587  0.2689 
   00009    0.4852   -6704.4668  0.2670 
   00010    0.4884   -6906.0796  0.2725 
   00011    0.4696   -7060.2817  0.2736 
   00012    0.4812   -7111.5859  0.2683 
   00013    0.4644   -7196.8604  0.2652 
   00014    0.4512   -7330.6445  0.2692 
   00015    0.4480   -7370.5337  0.2704 
   00016    0.4532   -7470.0420  0.2722 
   00017    0.4408   -7511.5151  0.2677 
   00018    0.4624   -7616.5317  0.2716 
   00019    0.4472   -7614.1929  0.2723 
   00020    0.4460   -7655.7114  0.2797 
   00021    0.4760   -7739.1099  0.2885 
   00022    0.4440   -7770.8013  0.2939 
   00023    0.4272   -7844.1768  0.2938 
   00024    0.4452   -7882.7104  0.2956 
   00025    0.4292   -7957.6094  0.2957 
   00026    0.4052   -7969.1045  0.3024 
   00027    0.4324   -8015.9971  0.3020 
   00028    0.4388   -7997.6157  0.3020 
   00029    0.4428   -7991.5532  0.3103 
   00030    0.4432   -8056.2480  0.3009 
   00031    0.4116   -8090.1641  0.3086 
   00032    0.4208   -8089.0483  0.3080 
   00033    0.4216   -8085.3843  0.3142 
   00034    0.4060   -8083.3164  0.3131 
   00035    0.4300   -8065.6313  0.3045 
   00036    0.4336   -8077.5684  0.3060 
   00037    0.4168   -8074.5566  0.3065 
   00038    0.4236   -8134.0352  0.3023 
   00039    0.4292   -8191.1548  0.2995 
   00040    0.4364   -8117.7168  0.3023 
   00041    0.4288   -8118.2793  0.3010 
   00042    0.4316   -8151.9624  0.3040 
   00043    0.4036   -8164.0796  0.3044 
   00044    0.4224   -8142.6025  0.2982 
   00045    0.4360   -8131.0498  0.3069 
   00046    0.4328   -8195.3623  0.3080 
   00047    0.4172   -8248.5049  0.3107 
   00048    0.4120   -8213.0205  0.3152 
   00049    0.4104   -8249.5498  0.3072 
   00050    0.4172   -8232.3457  0.3056 
   00051    0.4384   -8196.5820  0.3058 
   00052    0.4140   -8209.2188  0.3160 
   00053    0.4344   -8217.3398  0.3139 
   00054    0.4256   -8210.3633  0.3090 
   00055    0.4228   -8205.3613  0.3065 
   00056    0.4136   -8193.3066  0.3009 
   00057    0.4112   -8207.8877  0.3006 
   00058    0.4276   -8189.5586  0.2974 
   00059    0.4208   -8228.2393  0.3051 
   00060    0.4204   -8240.6533  0.3091 
   00061    0.4120   -8272.5928  0.3120 
   00062    0.4144   -8261.9785  0.3128 
   00063    0.4216   -8256.9375  0.3181 
   00064    0.4288   -8284.9775  0.3239 
   00065    0.4256   -8311.8379  0.3237 
   00066    0.4076   -8295.5176  0.3141 
   00067    0.4140   -8309.1162  0.3150 
   00068    0.4248   -8305.2617  0.3124 
   00069    0.4248   -8294.5332  0.3072 
   00070    0.4116   -8330.9678  0.3071 
   00071    0.4120   -8333.9746  0.3049 
   00072    0.4140   -8291.6680  0.3052 
   00073    0.4232   -8307.0664  0.3101 
   00074    0.4000   -8318.9961  0.3099 
   00075    0.4276   -8307.1729  0.3126 
   00076    0.4172   -8293.3115  0.3121 
   00077    0.4280   -8276.9648  0.3128 
   00078    0.4100   -8292.6465  0.3205 
   00079    0.4172   -8303.0244  0.3159 
   00080    0.4024   -8300.7998  0.3219 
   00081    0.4036   -8327.9219  0.3181 
   00082    0.4144   -8260.2803  0.3219 
   00083    0.4240   -8220.4502  0.3212 
   00084    0.4276   -8250.7686  0.3235 
   00085    0.4284   -8322.2266  0.3211 
   00086    0.4084   -8307.5996  0.3204 
   00087    0.4084   -8334.6250  0.3214 
   00088    0.4324   -8278.0391  0.3218 
   00089    0.4240   -8282.7080  0.3196 
   00090    0.4156   -8316.4639  0.3236 
   00091    0.4108   -8306.2627  0.3261 
   00092    0.4232   -8332.8613  0.3309 
   00093    0.3972   -8375.6631  0.3333 
   00094    0.4376   -8347.6250  0.3300 
   00095    0.4160   -8363.9043  0.3289 
   00096    0.4124   -8294.3535  0.3265 
   00097    0.4280   -8279.0391  0.3268 
   00098    0.4312   -8302.1797  0.3275 
   00099    0.4228   -8312.9258  0.3287 
   00100    0.4232   -8319.2217  0.3283 
   00101    0.4284   -8321.3359  0.3328 
   00102    0.4288   -8289.1152  0.3333 
   00103    0.4076   -8284.3662  0.3355 
   00104    0.4196   -8262.1396  0.3432 
   00105    0.4144   -8275.3350  0.3300 
   00106    0.4212   -8331.9082  0.3303 
   00107    0.4320   -8308.1855  0.3328 
   00108    0.4200   -8296.5107  0.3312 
   00109    0.4380   -8294.6133  0.3347 
   00110    0.4228   -8270.2861  0.3330 
   00111    0.4120   -8252.9658  0.3365 
   00112    0.4116   -8325.8584  0.3369 
   00113    0.4276   -8369.5605  0.3439 
   00114    0.4308   -8319.3721  0.3505 
   00115    0.4236   -8327.6162  0.3482 
   00116    0.4284   -8331.2998  0.3454 
   00117    0.4168   -8330.9951  0.3427 
   00118    0.4064   -8309.5508  0.3436 
   00119    0.4180   -8375.1367  0.3410 
   00120    0.4244   -8379.1133  0.3462 
   00121    0.4032   -8392.5020  0.3441 
   00122    0.4076   -8434.9111  0.3380 
   00123    0.3960   -8448.3828  0.3466 
   00124    0.4180   -8432.7666  0.3567 
   00125    0.4224   -8377.2490  0.3563 
   00126    0.4276   -8332.1699  0.3565 
   00127    0.3944   -8338.9268  0.3555 
   00128    0.4136   -8355.0361  0.3593 
   00129    0.4260   -8338.7666  0.3589 
   00130    0.4108   -8335.7354  0.3617 
   00131    0.4196   -8349.3672  0.3639 
   00132    0.4420   -8345.7207  0.3657 
   00133    0.4140   -8373.1514  0.3677 
   00134    0.4332   -8364.3125  0.3648 
   00135    0.3996   -8333.7197  0.3628 
   00136    0.4268   -8366.3154  0.3677 
   00137    0.4096   -8302.3262  0.3736 
   00138    0.4196   -8346.4492  0.3791 
   00139    0.4388   -8346.2773  0.3845 
   00140    0.4292   -8375.5244  0.3879 
   00141    0.4192   -8374.8779  0.3850 
   00142    0.4200   -8324.2656  0.3802 
   00143    0.4244   -8368.4941  0.3779 
   00144    0.4152   -8344.4326  0.3729 
   00145    0.4200   -8325.3857  0.3728 
   00146    0.4144   -8316.2598  0.3737 
   00147    0.4136   -8311.4258  0.3758 
   00148    0.3984   -8294.5918  0.3751 
   00149    0.4084   -8318.0977  0.3829 
   00150    0.4168   -8311.6201  0.3780 
   00151    0.4212   -8332.1133  0.3692 
   00152    0.4216   -8345.8242  0.3699 
   00153    0.4124   -8334.8867  0.3732 
   00154    0.4172   -8329.5820  0.3698 
   00155    0.4244   -8333.3281  0.3693 
   00156    0.4184   -8336.9902  0.3724 
   00157    0.4300   -8342.8047  0.3676 
   00158    0.4040   -8377.5586  0.3698 
   00159    0.4280   -8351.1787  0.3731 
   00160    0.4152   -8349.8496  0.3656 
   00161    0.4328   -8374.0801  0.3713 
   00162    0.4048   -8423.6465  0.3734 
   00163    0.4088   -8406.1348  0.3728 
   00164    0.3952   -8416.8457  0.3736 
   00165    0.4144   -8409.7998  0.3726 
   00166    0.4220   -8434.6445  0.3759 
   00167    0.4212   -8444.6455  0.3812 
   00168    0.4204   -8466.3506  0.3860 
   00169    0.3844   -8466.4219  0.3921 
   00170    0.4032   -8443.3193  0.3923 
   00171    0.4200   -8418.1406  0.3875 
   00172    0.4204   -8400.2588  0.3904 
   00173    0.4124   -8414.9912  0.3905 
   00174    0.4096   -8414.7139  0.3871 
   00175    0.4316   -8412.2168  0.3880 
   00176    0.4004   -8428.2217  0.3898 
   00177    0.4204   -8432.7803  0.3889 
   00178    0.4288   -8433.1982  0.3946 
   00179    0.4156   -8414.9775  0.3907 
   00180    0.4136   -8380.6387  0.3860 
   00181    0.4308   -8382.3477  0.3803 
   00182    0.4120   -8398.0078  0.3796 
   00183    0.4376   -8381.1816  0.3770 
   00184    0.4144   -8395.9141  0.3749 
   00185    0.4092   -8383.0342  0.3793 
   00186    0.4220   -8367.8906  0.3771 
   00187    0.4168   -8373.7471  0.3737 
   00188    0.4264   -8420.2168  0.3683 
   00189    0.4240   -8427.5830  0.3692 
   00190    0.4256   -8448.2402  0.3708 
   00191    0.4176   -8480.7070  0.3735 
   00192    0.4208   -8495.6113  0.3730 
   00193    0.4084   -8504.9326  0.3732 
   00194    0.4092   -8512.0801  0.3732 
   00195    0.4200   -8516.6328  0.3767 
   00196    0.3880   -8509.9619  0.3793 
   00197    0.4152   -8535.9248  0.3867 
   00198    0.4168   -8523.7324  0.3801 
   00199    0.4120   -8495.6250  0.3788 
   00200    0.4260   -8470.6768  0.3764 
   00201    0.4228   -8483.0859  0.3863 
   00202    0.4024   -8464.2471  0.3926 
   00203    0.4132   -8471.1299  0.3907 
   00204    0.4096   -8461.5693  0.3987 
   00205    0.4148   -8411.3818  0.3864 
   00206    0.4228   -8340.5811  0.3875 
   00207    0.4124   -8335.6543  0.3830 
   00208    0.4228   -8347.1367  0.3911 
   00209    0.4268   -8384.7979  0.3886 
   00210    0.4428   -8385.5352  0.3839 
   00211    0.4060   -8371.4922  0.3844 
   00212    0.4164   -8427.5537  0.3802 
   00213    0.4292   -8431.6875  0.3739 
   00214    0.4268   -8437.0215  0.3719 
   00215    0.4140   -8493.1826  0.3719 
   00216    0.4128   -8486.5537  0.3715 
   00217    0.4212   -8460.0889  0.3619 
   00218    0.4084   -8441.0186  0.3578 
   00219    0.4084   -8407.9062  0.3573 
   00220    0.4016   -8438.7070  0.3523 
   00221    0.4356   -8382.8848  0.3454 
   00222    0.4164   -8328.8008  0.3446 
   00223    0.4268   -8353.8604  0.3414 
